"ItemName","Rate","ItemNo","Tax","Type","Kitchen","HSN"
"CREAM OF SOUP VEG","60","1","2","M.Water/S.Drinks","south indian",""
"CLEAR SOUP NON VEG","60","10","2","M.Water/S.Drinks","south indian",""
"GREEN SALAD","60","11","2","Food","SALAD",""
"CUCUMBER SALAD","60","12","2","Food","SALAD",""
"HAWIAN SALAD","60","13","2","Food","SALAD",""
"RUSSIAN SALAD","75","14","2","Food","SALAD",""
"RAITHA VEG","50","15","2","Food","RAITHA",""
"RAITHA ALOO","50","16","2","Food","RAITHA",""
"CREAM OF SOUP NON-VEG","70","2","2","M.Water/S.Drinks","south indian",""
"SWEET CORN SOUP VEG","50","3","2","M.Water/S.Drinks","south indian",""
"SWEET CORN SOUP NON VEG","60","4","2","M.Water/S.Drinks","south indian",""
"HOT AND SOUR SOUP VEG","50","5","2","M.Water/S.Drinks","south indian",""
"HOT AND SOUR SOUP NON- VEG","60","6","2","M.Water/S.Drinks","south indian",""
"MANCHOW SOUP VWG","50","7","2","M.Water/S.Drinks","south indian",""
"MANCHOW SOUP NON-VEG","60","8","2","M.Water/S.Drinks","south indian",""
"CLEAR SOUP VEG","50","9","2","M.Water/S.Drinks","south indian",""
